Timestamp,,What Engineering program are you in?,What year are you in?,What is your gender?  **We're asking this to discover any gender biases in our questions**,"Are you happy with what your program provides you with (i.e. courses, job opportunities, projects, etc.)",What kind of problems do you enjoy solving?,Would you consider yourself as being creative?,"What industry can you see yourself working in, in the future? Select all that apply.",How comfortable are you working in the outdoors?,What can you see yourself doing in the future?,How do you feel about group work? ,What high school class did you enjoy the most?,What high school class did you enjoy the least?,How do you feel about computer programming?,What type of club would you consider joining?,What type of club would you NOT want to join?,What project would you want to be a part of? ,What project do you find the least interesting?,"If you could only watch one TV show for the rest of your life, what would it be?","If engineering didn’t exist, what would you consider studying?",How do you feel about working with expensive equipment?,How would you describe your drawing abilities?,You have an assignment to write an essay about anything you want. How does that make you feel?,Skill testing question: what is (4+2)x2 ?,What was the extent of your programming experience prior to entering Engineering at the University of Waterloo?
12/10/2019 19:36:03,edu.uwaterloo.ca,Mechanical Engineering,2nd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,Technology (i.e. Working with cloud based software),"Working outside would be okay, but only for short periods of time.",Optimizing processes.,I enjoy working with others.,Math,Visual Arts,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Art or design club (i.e. Fashion for Change),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,House Hunters,Economics,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
12/10/2019 23:03:38,uwaterloo.ca,Architectural Engineering,1st year,Male,No,Problems that are well defined.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I occasionally like working with others.,Math,History,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Myth Busters,Finance,That scares me and I don't want to touch it.,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/14/2019 2:25:26,edu.uwaterloo.ca,Architectural Engineering,1st year,Female,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city)",I love the outdoors and wish I could work outside every day.,Designing buildings.,I enjoy working with others.,Physics,Biology,I don't code but I am interested in trying it.,Student council (i.e. Engineering Society),Autoshop club (i.e. Autonomoose Autonomous Car Club),Designing an Olympic village.,Optimizing the Uber Pool routes.,Silicon Valley,Graphic Design,That sounds cool!,"Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
12/14/2019 1:32:36,uwaterloo.ca,Mechatronics Engineering,4th year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Construction (i.e. Building a smart city), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Physics,Language Arts,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Student council (i.e. Engineering Society),Optimizing the Uber Pool routes.,Designing a water treatment system for Mars.,Myth Busters,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
12/12/2019 16:26:43,edu.uwaterloo.ca,Electrical Engineering,1st year,Male,Yes,Problems with very limited information.,I am very creative.,Environment (i.e. Producing energy in sustainable ways),I love the outdoors and wish I could work outside every day.,Optimizing processes.,I occasionally like working with others.,Physics,Language Arts,I can code but it's not my favourite thing to do.,Environment club (i.e. UW Energy Network),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Designing an Olympic village.,Big Bang Theory,Psychology,That sounds cool!,I am not very good.,Excited! I can share my theories with the world.,,
12/18/2019 13:40:40,uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I occasionally like working with others.,Physics,Language Arts,"I code, I enjoy it and I'm good at it.",Business club (i.e. UW Finance Association),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Planet Earth,Computer Science,That sounds cool!,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
12/11/2019 11:40:40,gmail.com,Architecture,3rd year,Female,No,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Designing buildings.,I occasionally like working with others.,Visual Arts,History,I don’t code and I have no desire to learn.,Environment club (i.e. UW Energy Network),Consulting club or business club (i.e. DECA),Designing an Olympic village.,Programming a robot that can make you dinner.,Grey’s Anatomy,Graphic Design,That sounds cool!,"Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
12/10/2019 15:37:25,edu.uwaterloo.ca,Chemical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I occasionally like working with others.,Chemistry,Visual Arts,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Business club (i.e. UW Finance Association),Designing a water treatment system for Mars.,Programming a robot that can make you dinner.,Myth Busters,Environmental Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
12/11/2019 21:23:04,uwaterloo.ca,Mechatronics Engineering,1st year,Female,Yes,Problems that require some investigation.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I occasionally like working with others.,History,Chemistry,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Environment club (i.e. UW Energy Network),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Finance,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 12:32:02,uwaterloo.ca,Mechatronics Engineering,1st year,Female,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I occasionally like working with others.,History,Geography,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Environment club (i.e. UW Energy Network),Programming a robot that can make you dinner.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Finance,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 10:56:32,edu.uwaterloo.ca,Civil Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Visual Arts,Biology,I don't code but I am interested in trying it.,Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Designing a water treatment system for Mars.,Programming a robot that can make you dinner.,House Hunters,Graphic Design,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/7/2020 15:54:53,edu.uwaterloo.ca,Nanotechnology Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Biology,Geography,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Autoshop club (i.e. Autonomoose Autonomous Car Club),Building the world’s most powerful supercomputer.,Designing an Olympic village.,Planet Earth,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/14/2019 11:35:16,uwaterloo.ca,Electrical Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Visual Arts,Language Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Big Bang Theory,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
12/12/2019 13:55:26,edu.uwaterloo.ca,Architecture,3rd year,Female,No,Problems that require some investigation.,I am very creative.,Architecture (i.e. Designing a building taller than the CN Tower),"Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Language Arts,Math,I don't code but I am interested in trying it.,Art or design club (i.e. Fashion for Change),Student council (i.e. Engineering Society),Designing a water treatment system for Mars.,Designing an Olympic village.,Myth Busters,English Literature,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/25/2020 14:28:51,uwaterloo.ca,Architecture,3rd year,Female,No,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city)",I love the outdoors and wish I could work outside every day.,Designing buildings.,I occasionally like working with others.,History,Chemistry,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Business club (i.e. UW Finance Association),Designing an Olympic village.,Programming a robot that can make you dinner.,Myth Busters,English Literature,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 15:34:18,uwaterloo.ca,Mechatronics Engineering,1st year,Male,Yes,Problems that require some investigation.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I enjoy working with others.,Math,History,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Programming a robot that can make you dinner.,Optimizing the Uber Pool routes.,Myth Busters,Computer Science,That sounds cool!,"Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
1/25/2020 11:29:28,edu.uwaterloo.ca,Architecture,3rd year,Male,No,Problems that require some investigation.,I am very creative.,Architecture (i.e. Designing a building taller than the CN Tower),I would rather work inside.,Designing buildings.,I occasionally like working with others.,Visual Arts,Chemistry,I don’t code and I have no desire to learn.,Art or design club (i.e. Fashion for Change),Consulting club (i.e. DECA),Designing an Olympic village.,Creating a battery from recycled material.,Myth Busters,Finance,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
1/16/2020 11:43:18,edu.uwaterloo.ca,Computer Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Programming apps.,I enjoy working with others.,Computer Science,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Designing an Olympic village.,Myth Busters,Computer Science,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/10/2019 20:39:17,edu.uwaterloo.ca,Mechatronics Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I enjoy working with others.,History,Biology,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Designing an Olympic village.,Silicon Valley,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Excited! I can share my theories with the world.,,
1/20/2020 15:08:28,edu.uwaterloo.ca,Mechatronics Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I occasionally like working with others.,Computer Science,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Designing an Olympic village.,Silicon Valley,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
12/12/2019 14:22:38,uwaterloo.ca,Electrical Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am not creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Chemistry,Math,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Hacker club (i.e. UW Hacks),Programming a robot that can make you dinner.,Designing an Olympic village.,Breaking Bad,Economics,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 10:53:56,edu.uwaterloo.ca,Biomedical Engineering,1st year,Female,No,Problems that require some investigation.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Math,Business,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Optimizing the Uber Pool routes.,Creating a battery from recycled material.,Planet Earth,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 11:25:19,uwaterloo.ca,Chemical Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Language Arts,I can code but it's not my favourite thing to do.,Environment club (i.e. UW Energy Network),Art or design club (i.e. Fashion for Change),Designing a water treatment system for Mars.,Prototyping a musical instrument for children with a disability.,Planet Earth,Finance,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 16:29:08,edu.uwaterloo.ca,Chemical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I enjoy working with others.,Chemistry,Visual Arts,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Consulting club (i.e. DECA),Designing a water treatment system for Mars.,Designing an Olympic village.,Breaking Bad,English Literature,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 13:41:20,edu.uwaterloo.ca,Nanotechnology Engineering,1st year,Male,Yes,Problems with very limited information.,I am very creative.,Technology (i.e. Working with cloud based software),I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Physics,Visual Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Myth Busters,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/22/2020 10:51:53,edu.uwaterloo.ca,Electrical Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I would rather work inside.,Improving the way we use the world's resources.,I enjoy working with others.,Language Arts,Business,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Silicon Valley,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/12/2019 13:58:51,uwaterloo.ca,Mechanical Engineering,3rd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I enjoy working with others.,Math,History,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Business club (i.e. UW Finance Association),Programming a robot that can make you dinner.,Optimizing the Uber Pool routes.,Myth Busters,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 11:41:17,uwaterloo.ca,Mechanical Engineering,3rd year,Female,Yes,Problems that require some investigation.,I am not creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I enjoy working with others.,Math,Biology,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Myth Busters,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 17:23:02,uwaterloo.ca,Biomedical Engineering,4th year,Other,No,Problems that require some investigation.,I am very creative.,Technology (i.e. Working with cloud based software),I love the outdoors and wish I could work outside every day.,Optimizing processes.,I occasionally like working with others.,Language Arts,Business,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Business club (i.e. UW Finance Association),Optimizing the Uber Pool routes.,Creating a battery from recycled material.,Myth Busters,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
12/11/2019 9:35:45,edu.uwaterloo.ca,Management Engineering,3rd year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I enjoy working with others.,Computer Science,Chemistry,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Optimizing the Uber Pool routes.,Designing an Olympic village.,Myth Busters,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 12:13:42,edu.uwaterloo.ca,Mechatronics Engineering,1st year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Math,Visual Arts,"I code, I enjoy it and I'm good at it.",Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Creating a battery from recycled material.,Prototyping a musical instrument for children with a disability.,Big Bang Theory,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/12/2019 11:35:54,edu.uwaterloo.ca,Civil Engineering,3rd year,Male,Yes,Problems that are well defined.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Chemistry,History,I don't code but I am interested in trying it.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Designing an Olympic village.,Optimizing the Uber Pool routes.,Myth Busters,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/20/2020 11:49:47,uwaterloo.ca,Civil Engineering,3rd year,Male,Yes,Problems that are well defined.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Designing buildings.,I occasionally like working with others.,Chemistry,History,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Designing an Olympic village.,Optimizing the Uber Pool routes.,Myth Busters,Geography,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 12:04:48,uwaterloo.ca,Computer Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Programming apps.,I enjoy working with others.,Math,History,I can code but it's not my favourite thing to do.,Business club (i.e. UW Finance Association),Autoshop club (i.e. Autonomoose Autonomous Car Club),Optimizing the Uber Pool routes.,Programming a robot that can make you dinner.,House Hunters,Business,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
12/11/2019 21:25:32,uwaterloo.ca,Systems Design Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Optimizing processes.,I occasionally like working with others.,Chemistry,Language Arts,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Consulting club (i.e. DECA),Optimizing the Uber Pool routes.,Building the world’s most powerful supercomputer.,Grey’s Anatomy,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 13:54:08,uwaterloo.ca,Systems Design Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I occasionally like working with others.,Chemistry,History,"I code, I enjoy it and I'm good at it.",Environment club (i.e. UW Energy Network),Consulting club (i.e. DECA),Optimizing the Uber Pool routes.,Building the world’s most powerful supercomputer.,Grey’s Anatomy,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/17/2019 11:57:36,edu.uwaterloo.ca,Nanotechnology Engineering,1st year,Female,Yes,Problems that require some investigation.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I enjoy working with others.,Physics,History,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Creating a battery from recycled material.,Programming a robot that can make you dinner.,Breaking Bad,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/9/2020 17:24:33,uwaterloo.ca,Biomedical Engineering,2nd year,Female,Yes,Problems that are well defined.,I am not creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Math,Physics,I can code but it's not my favourite thing to do.,Student council (i.e. Engineering Society),Consulting club (i.e. DECA),Prototyping a musical instrument for children with a disability.,Designing a water treatment system for Mars.,Breaking Bad,English Literature,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
12/10/2019 9:05:14,uwaterloo.ca,Mechanical Engineering,1st year,Male,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I enjoy working with others.,Physics,Biology,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Designing an Olympic village.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 14:13:08,uwaterloo.ca,Nanotechnology Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Making discoveries at the molecular level.,I enjoy working with others.,Chemistry,Language Arts,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Myth Busters,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 11:59:27,edu.uwaterloo.ca,Mechanical Engineering,4th year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,Health (i.e. Creating technology for minimally invasive surgeries),"Working outside would be okay, but only for short periods of time.",Making discoveries at the molecular level.,I occasionally like working with others.,Physics,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Planet Earth,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
